N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,CODE
1251.0,대신 레버리지 코스닥 150 선물 ETN,24825.0,850.0,+3.55%,0.0,248.0,1000.0,0.0,2.0,,,510026
1252.0,TIGER 차이나CSI300인버스(합성),8000.0,35.0,+0.44%,0.0,248.0,3100.0,1.25,1230.0,,,217780
1253.0,ACE 친환경자동차밸류체인액티브,9905.0,85.0,+0.87%,0.0,248.0,2500.0,0.0,3879.0,,,385600
1254.0,KODEX 미국러셀2000(H),12350.0,175.0,+1.44%,0.0,247.0,2000.0,0.0,1103.0,,,280930
1255.0,하나 레버리지 코스닥150 선물 ETN,24670.0,395.0,+1.63%,0.0,247.0,1000.0,0.0,8304.0,,,700017
1256.0,ACE ESG액티브,7470.0,50.0,+0.67%,0.0,247.0,3300.0,0.0,141.0,,,385590
1257.0,ARIRANG K방산Fn,10435.0,40.0,+0.38%,0.0,245.0,2350.0,0.05,78350.0,,,449450
1258.0,TIGER 삼성그룹펀더멘털,11045.0,10.0,+0.09%,0.0,245.0,2220.0,0.05,894.0,,,138520
1259.0,신한 S&P500 VIX S/T 선물 ETN C,4845.0,245.0,-4.81%,0.0,242.0,5000.0,0.0,114144.0,,,500058
1260.0,ARIRANG 미국단기우량회사채,104765.0,505.0,-0.48%,0.0,241.0,230.0,0.0,321.0,,,332610
1261.0,ACE 글로벌반도체TOP4 Plus SOLACTIVE,11460.0,105.0,+0.92%,0.0,241.0,2100.0,0.0,34908.0,,,446770
1262.0,KODEX 코스피대형주,12000.0,70.0,+0.59%,0.0,240.0,2000.0,0.02,222.0,,,337140
1263.0,TIGER 구리실물,10180.0,60.0,-0.59%,0.0,239.0,2350.0,0.0,18343.0,,,160580
1264.0,신한 옥수수 선물 ETN(H),11915.0,15.0,+0.13%,0.0,238.0,2000.0,0.0,1204.0,,,500013
1265.0,신한 은 선물 ETN(H),11910.0,30.0,+0.25%,0.0,238.0,2000.0,0.0,46.0,,,500017
1266.0,대덕전자1우,11330.0,70.0,-0.61%,500.0,237.0,2096.0,0.57,26307.0,3.24,,35320K
1267.0,하이트론,2470.0,0.0,0.00%,500.0,237.0,9611.0,0.68,0.0,-2.43,-76.24,019490
1268.0,KBSTAR 국고채3년,108795.0,135.0,+0.12%,0.0,236.0,217.0,0.0,1989.0,,,114100
1269.0,하나 Solactive 2X US Tech Top 10 ETN(H),23500.0,900.0,+3.98%,0.0,235.0,1000.0,0.0,3.0,,,700023
1270.0,KBSTAR 비메모리반도체액티브,8110.0,190.0,+2.40%,0.0,234.0,2880.0,0.0,71905.0,,,388420
1271.0,HANARO 단기채권액티브,102245.0,10.0,+0.01%,0.0,232.0,227.0,0.01,72.0,,,390950
1272.0,미래에셋 인버스 코스피200 선물 ETN,11595.0,85.0,-0.73%,0.0,232.0,2000.0,0.0,644.0,,,520038
1273.0,TIGER 인도니프티50레버리지(합성),23155.0,125.0,+0.54%,0.0,232.0,1000.0,0.0,6641.0,,,236350
1274.0,신한 인버스 코스피 200 선물 ETN,11570.0,85.0,-0.73%,0.0,231.0,2000.0,0.0,527.0,,,500061
1275.0,TIGER 코스피고배당,13960.0,60.0,-0.43%,0.0,230.0,1650.0,0.06,3637.0,,,210780
1276.0,코오롱글로벌우,31000.0,850.0,+2.82%,5000.0,230.0,741.0,0.77,39905.0,5.37,,003075
1277.0,코아스,740.0,4.0,-0.54%,500.0,229.0,30907.0,0.61,174956.0,-5.48,-25.16,071950
1278.0,코리아써우,7660.0,20.0,-0.26%,500.0,227.0,2965.0,0.55,94386.0,2.38,,007815
1279.0,메리츠 레버리지 국채30년 ETN,5670.0,115.0,+2.07%,0.0,227.0,4000.0,0.13,74321.0,,,610008
1280.0,메리츠 레버리지 인플레이션 국채 ETN,11270.0,70.0,+0.63%,0.0,225.0,2000.0,0.0,2.0,,,610002
1281.0,신한 인버스 코스닥 150 선물 ETN,11260.0,35.0,-0.31%,0.0,225.0,2000.0,0.0,52.0,,,500063
1282.0,KBSTAR 미국S&P원유생산기업(합성 H),6320.0,60.0,-0.94%,0.0,224.0,3550.0,0.0,32491.0,,,219390
1283.0,KODEX 에너지화학,15995.0,20.0,-0.12%,0.0,224.0,1400.0,0.07,3035.0,,,117460
1284.0,TIGER 일본엔선물,9325.0,35.0,-0.37%,0.0,224.0,2400.0,0.54,62785.0,,,292560
1285.0,미래에셋 인버스 코스닥150 선물 ETN,11175.0,90.0,-0.80%,0.0,224.0,2000.0,0.0,203.0,,,520040
1286.0,솔루스첨단소재2우B,11700.0,190.0,+1.65%,100.0,221.0,1889.0,0.04,3298.0,-265.91,,33637L
1287.0,TIGER 국고채30년스트립액티브,49340.0,730.0,+1.50%,0.0,221.0,448.0,0.42,137618.0,,,451530
1288.0,TIGER KRX게임K-뉴딜,6210.0,65.0,+1.06%,0.0,220.0,3550.0,0.0,95707.0,,,364990
1289.0,하나 Solactive US Tech Top 10 ETN(H),10960.0,195.0,+1.81%,0.0,219.0,2000.0,0.0,2.0,,,700022
1290.0,대상우,15960.0,50.0,+0.31%,1000.0,219.0,1370.0,0.87,1063.0,5.0,,001685
1291.0,KODEX 미국채10년선물,10930.0,85.0,-0.77%,0.0,219.0,2000.0,0.09,13180.0,,,308620
1292.0,HANARO Fn K-POP&미디어,9095.0,175.0,+1.96%,0.0,218.0,2400.0,0.0,15487.0,,,395290
1293.0,SOL 국고채10년,103870.0,290.0,+0.28%,0.0,218.0,210.0,0.0,763.0,,,438570
1294.0,KODEX TRF5050,12085.0,65.0,-0.53%,0.0,218.0,1800.0,0.0,1101.0,,,329660
1295.0,TRUE 레버리지 금 선물 ETN,21685.0,0.0,0.00%,0.0,217.0,1000.0,0.0,0.0,,,570059
1296.0,삼성 코스피 풋매도 4% OTM ETN,10805.0,0.0,0.00%,0.0,216.0,2000.0,0.0,0.0,,,530066
1297.0,메리츠 인플레이션 국채 ETN,10800.0,10.0,+0.09%,0.0,216.0,2000.0,0.0,22.0,,,610001
1298.0,TIGER 차이나반도체FACTSET,6655.0,110.0,-1.63%,0.0,216.0,3240.0,1.67,15150.0,,,396520
1299.0,KODEX K-친환경선박액티브,10665.0,50.0,+0.47%,0.0,213.0,2000.0,0.0,6839.0,,,445150
1300.0,TIGER 원유선물인버스(H),3275.0,20.0,-0.61%,0.0,213.0,6500.0,1.06,344141.0,,,217770
1301.0,KBSTAR 글로벌4차산업IT(합성 H),18485.0,240.0,+1.32%,0.0,213.0,1150.0,0.0,807.0,,,276650
1302.0,KODEX TRF7030,13215.0,30.0,-0.23%,0.0,211.0,1600.0,0.0,540.0,,,329670
1303.0,삼성중공우,183800.0,1100.0,-0.59%,1000.0,211.0,115.0,2.35,1299.0,-228.61,,010145
1304.0,KODEX 배당성장채권혼합,11675.0,5.0,+0.04%,0.0,210.0,1800.0,0.0,450.0,,,237370
1305.0,신한 다우존스지수 선물 ETN(H),20865.0,265.0,+1.29%,0.0,209.0,1000.0,0.0,4.0,,,500009
